date,units,sales,spend,Acos,CPC
2020-07-01,23,2322.8,290.51,14.75%,0.354699119576802
2020-07-02,20,2056.82,256.79,45.37%,0.347318107260264
2020-07-03,21,2406.81,247.2,24.77%,0.469518772936971
2020-07-04,13,1189.87,229.2,30.73%,0.586126037092414
2020-07-05,18,1990.85,257.01,13.17%,0.984205380656659
2020-07-06,30,3205.7,316.55,23.43%,0.228567714206098
2020-07-07,23,2204.82,226.36,26.38%,0.822766139291583
2020-07-08,23,2310.8,144.56,17.92%,0.653191955392881
2020-07-09,39,4182.7,116.18,14.31%,0.38877688830752
2020-07-10,22,2289.79,84.29,16.00%,0.976183933449842
2020-07-11,31,3598.7,160.36,19.75%,0.629396281541105
2020-07-12,28,2891.73,171.77,19.24%,0.389381116301672
2020-07-13,39,4188.61,340.57,31.86%,0.889479511988515
2020-07-14,42,4450.59,346.61,16.15%,0.343169203126832
2020-07-15,38,4091.63,447.83,17.86%,0.934147280658319
2020-07-16,36,3892.66,395.05,28.16%,0.241893466901947
2020-07-17,41,4233.62,320.93,22.12%,0.791385950296996
2020-07-18,31,2994.71,440.22,17.61%,0.09877065696274
2020-07-19,30,3035.75,369.48,24.29%,0.098343471925605
2020-07-20,37,3411.71,468.16,26.07%,0.452520585091345
2020-07-21,34,3697.67,449.77,24.09%,0.787310313462502
2020-07-22,44,4845.57,435.22,29.35%,0.617841934876323
2020-07-23,34,3417.69,459.22,29.82%,0.390910324652787
2020-07-24,34,3612.67,412.8,31.04%,0.488859366377997
2020-07-25,30,3153.71,378.93,21.59%,0.758940203147395
2020-07-26,22,2178.8,279.58,36.08%,0.983633985811939
2020-07-27,36,3869.65,307.9,35.39%,0.653792865477358
2020-07-28,26,2779.74,331.76,26.37%,0.653478292874698
2020-07-29,23,2117.78,375.92,32.00%,0.727039932762828
2020-07-30,22,2251.78,302.02,45.97%,0.720322380475572
2020-07-31,17,1563.83,223.6,60.44%,0.106781588396104
2020-08-01,28,2432.75,249.13,48.40%,0.41508401055883
2020-08-02,33,2893.7,318.62,19.90%,0.132941238673988
2020-08-03,26,2362.74,353.7,75.40%,0.35344249277039
2020-08-04,20,1783.81,258.27,37.50%,0.620555560330535
2020-08-05,23,2058.78,272.99,50.60%,0.291976599436666
2020-08-06,20,1768.82,254.51,47.60%,0.970802942317381
2020-08-07,20,1864.8,191.39,48.50%,0.18614780895054
2020-08-08,32,2464.77,386.02,49.30%,0.580688215145372
2020-08-09,31,2665.74,560.25,53.90%,0.650557697280821
2020-08-10,35,2186.78,372.9,57.30%,0.419937987215463
2020-08-11,19,1540.84,361.41,49.70%,0.152468166177682
2020-08-12,21,2152.81,410.08,33.10%,0.182584075383386
2020-08-13,26,2173.79,384.31,33.90%,0.923206794362396
2020-08-14,21,2379.79,391.72,39.60%,0.947047694175677
2020-08-15,23,2481.78,376.57,36.60%,0.52778851024667
2020-08-16,38,3774.65,474.2,22.60%,0.188756376457542
2020-08-17,28,2582.75,409.27,32.90%,0.606716872427785
2020-08-18,18,1938.82,256.94,107.10%,0.245995979411257
2020-08-19,17,1733.84,293.81,107.60%,0.168367384603172
2020-08-20,23,2282.77,346.74,18.60%,0.943029171116391
2020-08-21,35,3051.66,382.71,31.10%,0.930955041514215
2020-08-22,22,2117.78,377,36.70%,0.065756486710839
2020-08-23,32,2798.71,425.13,23.40%,0.32179056304846
2020-08-24,31,2537.69,440.32,27.30%,0.860238404642598
2020-08-25,40,3088.66,412.97,25.80%,0.478738003765508
2020-08-26,32,3108.71,382.49,22.10%,0.297803223945708
2020-08-27,31,3247.69,438.83,25.50%,0.253826445442643
2020-08-28,21,1926.8,336.68,29.50%,0.768700289898584
2020-08-29,30,3107.73,353.72,30.10%,0.783029248766757
2020-08-30,14,1280.89,387.74,40.70%,0.467985392755547
2020-08-31,29,2904.73,480.13,24.70%,0.834846002557765
2020-09-01,29,3101.77,437.08,23.89%,0.634296444232314
2020-09-02,27,3023.77,419.07,19.79%,0.278663067236664
2020-09-03,27,2874.77,406.04,25.05%,0.618272937483646
2020-09-04,25,2629.79,400.78,33.32%,0.557801447866513
2020-09-05,14,1435.88,427.87,38.90%,0.387690757305483
2020-09-06,20,2115.82,446.55,27.10%,0.793402730566977
2020-09-07,32,3325.71,471.11,26.47%,0.625007029068115
2020-09-08,31,3343.69,434.52,24.66%,0.713572833587802
2020-09-09,28,2437.78,345.87,16.56%,0.28845601211911
2020-09-10,28,2667.77,410.7,36.28%,0.369519309236282
2020-09-11,26,2895.76,444.38,31.01%,0.728589907612553
2020-09-12,24,2108.78,507.22,55.74%,0.286242648583255
2020-09-13,34,3448.71,520.04,23.60%,0.682312993096517
2020-09-14,37,4055.66,572.99,25.82%,0.403047092711951
2020-09-15,27,2651.74,582.02,31.13%,0.047284056793281
2020-09-16,35,3607.69,570.42,24.46%,0.735972553197825
2020-09-17,34,3563.68,596.39,38.81%,0.021824345345838
2020-09-18,29,2896.74,589.74,29.55%,0.829117509265397
2020-09-19,27,2387.75,600.16,40.47%,0.443189370208531
2020-09-20,31,3094.71,677.67,40.73%,0.991289525544579
2020-09-21,37,4083.65,512.27,22.19%,0.018373228003034
2020-09-22,14,2338.81,526.62,22.52%,0.430931881128102
2020-09-23,16,1820.86,540.07,29.66%,0.176587958248579
2020-09-24,16,2501.79,550.5,22.20%,0.883499035499413
2020-09-25,19,1994.8,546.7,27.41%,0.235867016296995
2020-09-26,15,1380.86,521.2,37.74%,0.509431391220719
2020-09-27,16,2956.75,518.64,17.54%,0.352897027219953
